title,author,date,abstract,column,url
A love letter to the lonely,Zoe Spicer ,2022-09-08,I wrote this letter to you in the hopes that it would make you feel a little less lonely.,GUEST COLUMNS,https://www.dukechronicle.com/article/2022/09/090722-spicer-focus-program-loneliness
Experiential orientation proposes an equity issue,Viktoria Wulff-Andersen ,2022-09-08,Understanding the far reach of accommodating and accounting for 1740 first-year students begged the question of where Duke would fall short.,STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090822-wulff-anderson-experiential-orientation-equity
On mortality and turning twenty,Laura Boyle ,2022-09-07,"I want you to remember that to be alive is to die one day, and that you should never feel guilty for getting one more chance, one more morning, one more moment to experience, to grow, to regress, to be. ",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090722-boyle-mortality
Here I go again,Valerie Tan ,2022-09-07,"This time, no longer shackled by my overthinking tendencies, I will be brutally honest if I must and less afraid to infuse my writing with more personality.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090722-tan-here-i-go-again
A neophyte in the hospital,Nathan Luzum ,2022-09-07,"The idea of being in the hospital so soon in your career seems great until you finish the first year and still feel woefully unprepared. But if life’s about anything, it’s about being woefully unprepared in as graceful a manner as possible.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090722-luzum-neophyte
The cost of eating at WU,Heidi Smith ,2022-09-06,"The way Duke’s upperclassman food plan works majorly contributes to a culture of ignoring breakfast, replacing meals with coffee, pushing off eating until work is done, and choosing the cheap option over the more desirable one, behaviors that are not only encouraged but often lauded in that toxic “suffering more than thou” way of bragging.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/09062022-smith-dining-hall
The Empty Equity Center,Anthony Salgado ,2022-09-06,"At the same time the Career Center was empty, Latinx students sat on the floor of their own space and had to grab chairs from across the Bryan Center.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/09062022-salgado-equity-center
Duke HRL introduces new TentEx program to address housing shortage,Monday Monday ,2022-09-05,"This new housing option provides a variety of benefits for students, such as being closer to classrooms and libraries, making sure each resident gets plenty of fresh air, and promoting a better sleep schedule by getting rid of the ability to ignore the sun in the morning.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/050922-duke-hrl-introduces-tentex-satire
Learning humbly,Luke A. Powery ,2022-09-05,"You have to be strong in order not to seek self-satisfaction, self-gratification or self-promotion.",STUDENT VOICES COLUMNS,https://www.dukechronicle.com/article/2022/09/090522-powery-humility
SLG response to Duke admin,Duke SLGs ,2022-08-30,To diminish this source of community at all is disheartening; to diminish it sooner than we had expected is even more so.,GUEST COLUMNS,https://www.dukechronicle.com/article/2022/08/duke-university-selective-living-groups-response-to-duke-admin
An open letter to Dean Bill Boulding on decency,Jerry Chen ,2022-08-26,"I am writing this letter to challenge your idea of a decency quotient and, more specifically, of recognizing DQ.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/08/082322-chen-letter
"Elegy for Peaches, the placemaker",Jeff Nelson ,2022-08-24,"Peaches the community cat, the placemaker—this is how I will remember her.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/08/082422-nelson-letter-peaches
Tribute to Janet Hill,David Bowser ,2022-08-23,"As the flags fly low on campus today (Thursday, August 18), please remember her and the great work she did helping to make Duke University what it is.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/08/082222-bowser-letter
Concerned driver for Duke vans,Daniel Bradford ,2022-08-12,"With only four to six van drivers, though, I anticipate wait times will be through the roof; some students and staff might end up taking the dangerous walk to their car or dorm/apartment late at night.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/08/081222-bradford-letter-vans
The personal damages of Proclamation 10043,Xu Weng ,2022-08-10,"If I still can't get a visa this fall, I will give up the opportunity to study at Duke University.",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/08/081022-weng-guest-proclamation-10043
An equitable Bryan Center,Anthony Salgado ,2022-07-27,"Duke has once again failed diversity on campus. The Bryan Center must remain a student facing area, promoting equity and inclusivity.",GUEST COLUMNS,https://www.dukechronicle.com/article/2022/07/072722-salgado-guest
Concerned alumni for the arts,Alumni for the Arts ,2022-07-19,"We are asking you, President Price, and Provost Kornbluth, to conduct an urgent, independent review of Duke Arts and Duke Performances, including talking with past staff so their institutional knowledge can be carried forward.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/07/071922-letter-alumni-for-the-arts
Uvalde statement,Mi Gente Executive Council ,2022-06-02,"These people will never take away our Latinx beauty, our resilience, or our bravery.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/06/060222-letter-mi-gente
BSA Buffalo Shooting Statement,Duke Black Student Alliance ,2022-05-26,Similar sentiments have been expressed for decades. Now is not the time for realization but mobilization.,LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/052522-bsa-letter
"Jackie Looney, long vision, and equality","Andrew D. Jones, Jr. ",2022-05-16,Dean Jackie Looney retires this year. She was a beacon of opportunity for over 30 years for families who have struggled over generations.,GUEST COLUMNS,https://www.dukechronicle.com/article/2022/05/051622-jones-guest
Letters: Tributes to Nugget,NA,2022-05-14,"""I will miss Nugget, but I will live each day honoring her by remembering what joy an everyday interaction can bring into your life. She taught us how a positive presence can bring so much light into your day,"" Alex Leo-Guerra, a senior, writes. ",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/duke-university-tributes-to-nugget-keith-upchurch
Letter: My guardian angel,Dav King ,2022-05-14,"I have muddied beliefs on an afterlife, but I know that somewhere out there Nugget is lying on a bench still getting pets from all kinds of people. ",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/dav-king-tribute-to-nugget-keith-upchurch-my-guardian-angel
Letter: A very friendly dog,Daniel Hwang ,2022-05-14,"Nugget served as a constant reminder that amid all the work you were caught up in, that home, comfort, and community were never too far away. ",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/daniel-hwang-tribute-to-nugget-keith-upchurch
Letter: The spirit of our years at Duke,Charlie Zong ,2022-05-14,"I thought that someday this summer, I would learn to shake her hand. I thought she might be there to see me graduate next spring. I thought we would always have more time.",LETTERS TO THE EDITOR,https://www.dukechronicle.com/article/2022/05/tribute-to-nugget-keith-upchurch-charlie-zong
